# room=$73 mode=$05 lvl=$00 objs=5
tick,bucket,calls,total_cyc,max_cyc,tick_cyc
41,IsrNmi,1,1056,1056,127841
41,UpdateMode,1,264,264,127841
41,TransferCurTileBuf,1,120,120,127841
41,music_tick,1,232,232,127841
41,UpdatePlayer,1,320,320,127841
41,CheckMonsterCollisions,1,328,328,127841
41,MoveObject,2,480,240,127841
41,Walker_Move,1,976,976,127841
41,Walker_CheckTileCollision,2,848,424,127841
41,AnimateAndDrawObjectWalking,1,1080,1080,127841
41,AddQSpeedToPositionFraction,4,1152,288,127841
41,TryNextDir,2,96,48,127841
41,GetCollidableTile,3,3240,1080,127841
41,_oam_dma_flush,1,232,232,127841
41,_ags_flush,1,96,96,127841
41,_ags_prearm,1,40,40,127841
41,DriveAudio,1,8,8,127841
41,_tick,1,127841,127841,127841
42,VBlankISR,2,192,96,255682
42,IsrNmi,1,1056,1056,255682
42,UpdateMode,1,264,264,255682
42,TransferCurTileBuf,1,120,120,255682
42,music_tick,2,464,232,255682
42,UpdatePlayer,1,320,320,255682
42,UpdateObject,14,16576,1184,255682
42,CheckMonsterCollisions,8,2624,328,255682
42,MoveObject,15,3600,240,255682
42,Walker_Move,9,8784,976,255682
42,Walker_CheckTileCollision,9,3816,424,255682
42,UpdateMoblin,8,4160,520,255682
42,UpdateArrowOrBoomerang,8,8000,1000,255682
42,AnimateAndDrawObjectWalking,8,8640,1080,255682
42,AddQSpeedToPositionFraction,56,16128,288,255682
42,GetCollidableTile,5,5400,1080,255682
42,_oam_dma_flush,2,464,232,255682
42,_ags_flush,2,192,96,255682
42,_ags_prearm,1,40,40,255682
42,DriveAudio,1,8,8,255682
42,_tick,2,255682,255682,255682
43,IsrNmi,1,1056,1056,127841
43,UpdateMode,1,264,264,127841
43,TransferCurTileBuf,1,120,120,127841
43,UpdatePlayer,1,320,320,127841
43,UpdateObject,5,5920,1184,127841
43,CheckMonsterCollisions,2,656,328,127841
43,MoveObject,6,1440,240,127841
43,Walker_Move,3,2928,976,127841
43,Walker_CheckTileCollision,3,1272,424,127841
43,UpdateMoblin,2,1040,520,127841
43,UpdateArrowOrBoomerang,4,4000,1000,127841
43,AnimateAndDrawObjectWalking,2,2160,1080,127841
43,AddQSpeedToPositionFraction,20,5760,288,127841
43,GetCollidableTile,1,1080,1080,127841
43,_ags_prearm,1,40,40,127841
43,DriveAudio,1,8,8,127841
43,_tick,1,127841,127841,127841
44,VBlankISR,1,96,96,127841
44,IsrNmi,1,1056,1056,127841
44,UpdateMode,1,264,264,127841
44,TransferCurTileBuf,1,120,120,127841
44,music_tick,1,232,232,127841
44,UpdatePlayer,1,320,320,127841
44,UpdateObject,3,3552,1184,127841
44,CheckMonsterCollisions,2,656,328,127841
44,MoveObject,4,960,240,127841
44,Walker_Move,3,2928,976,127841
44,Walker_CheckTileCollision,3,1272,424,127841
44,UpdateMoblin,2,1040,520,127841
44,UpdateArrowOrBoomerang,2,2000,1000,127841
44,AnimateAndDrawObjectWalking,2,2160,1080,127841
44,AddQSpeedToPositionFraction,12,3456,288,127841
44,GetCollidableTile,3,3240,1080,127841
44,_oam_dma_flush,1,232,232,127841
44,_ags_flush,1,96,96,127841
44,_ags_prearm,1,40,40,127841
44,DriveAudio,1,8,8,127841
44,_tick,1,127841,127841,127841
45,VBlankISR,1,96,96,255682
45,IsrNmi,1,1056,1056,255682
45,UpdateMode,1,264,264,255682
45,TransferCurTileBuf,1,120,120,255682
45,music_tick,1,232,232,255682
45,UpdatePlayer,1,320,320,255682
45,UpdateObject,13,15392,1184,255682
45,CheckMonsterCollisions,8,2624,328,255682
45,MoveObject,14,3360,240,255682
45,Walker_Move,9,8784,976,255682
45,Walker_CheckTileCollision,9,3816,424,255682
45,UpdateMoblin,8,4160,520,255682
45,UpdateArrowOrBoomerang,6,6000,1000,255682
45,AnimateAndDrawObjectWalking,8,8640,1080,255682
45,AddQSpeedToPositionFraction,52,14976,288,255682
45,GetCollidableTile,5,5400,1080,255682
45,_oam_dma_flush,1,232,232,255682
45,_ags_flush,1,96,96,255682
45,_ags_prearm,1,40,40,255682
45,DriveAudio,1,8,8,255682
45,_tick,2,255682,255682,255682
46,VBlankISR,1,96,96,127841
46,IsrNmi,1,1056,1056,127841
46,UpdateMode,1,264,264,127841
46,TransferCurTileBuf,1,120,120,127841
46,music_tick,1,232,232,127841
46,UpdatePlayer,1,320,320,127841
46,UpdateObject,6,7104,1184,127841
46,CheckMonsterCollisions,2,656,328,127841
46,MoveObject,7,1680,240,127841
46,Walker_Move,4,3904,976,127841
46,Walker_CheckTileCollision,4,1696,424,127841
46,UpdateMoblin,3,1560,520,127841
46,UpdateArrowOrBoomerang,4,4000,1000,127841
46,AnimateAndDrawObjectWalking,3,3240,1080,127841
46,AddQSpeedToPositionFraction,24,6912,288,127841
46,GetCollidableTile,2,2160,1080,127841
46,_oam_dma_flush,1,232,232,127841
46,_ags_flush,1,96,96,127841
46,_ags_prearm,1,40,40,127841
46,DriveAudio,1,8,8,127841
46,_tick,1,127841,127841,127841
47,VBlankISR,1,96,96,127841
47,IsrNmi,1,1056,1056,127841
47,UpdateMode,1,264,264,127841
47,TransferCurTileBuf,1,120,120,127841
47,music_tick,1,232,232,127841
47,UpdatePlayer,1,320,320,127841
47,UpdateObject,1,1184,1184,127841
47,CheckMonsterCollisions,2,656,328,127841
47,MoveObject,2,480,240,127841
47,Walker_Move,2,1952,976,127841
47,Walker_CheckTileCollision,2,848,424,127841
47,UpdateMoblin,1,520,520,127841
47,AnimateAndDrawObjectWalking,1,1080,1080,127841
47,AddQSpeedToPositionFraction,4,1152,288,127841
47,GetCollidableTile,1,1080,1080,127841
47,_oam_dma_flush,1,232,232,127841
47,_ags_flush,1,96,96,127841
47,_ags_prearm,1,40,40,127841
47,DriveAudio,1,8,8,127841
47,_tick,1,127841,127841,127841
48,VBlankISR,1,96,96,255682
48,IsrNmi,1,1056,1056,255682
48,UpdateMode,1,264,264,255682
48,TransferCurTileBuf,1,120,120,255682
48,music_tick,1,232,232,255682
48,UpdatePlayer,1,320,320,255682
48,UpdateObject,14,16576,1184,255682
48,CheckMonsterCollisions,8,2624,328,255682
48,MoveObject,15,3600,240,255682
48,Walker_Move,9,8784,976,255682
48,Walker_CheckTileCollision,9,3816,424,255682
48,UpdateMoblin,8,4160,520,255682
48,UpdateArrowOrBoomerang,8,8000,1000,255682
48,AnimateAndDrawObjectWalking,8,8640,1080,255682
48,AddQSpeedToPositionFraction,56,16128,288,255682
48,GetCollidableTile,6,6480,1080,255682
48,_oam_dma_flush,1,232,232,255682
48,_ags_flush,1,96,96,255682
48,_ags_prearm,1,40,40,255682
48,DriveAudio,1,8,8,255682
48,_tick,2,255682,255682,255682
49,VBlankISR,1,96,96,127841
49,IsrNmi,1,1056,1056,127841
49,UpdateMode,1,264,264,127841
49,TransferCurTileBuf,1,120,120,127841
49,music_tick,1,232,232,127841
