=================================================================
Record Parse Probe — frame 300
=================================================================

Total records parsed: 50
bmi terminator checks: 321 (taken: 0)

--- All parsed records ---
  done#95 D0=$00 A0=$00000000
  done#96 D0=$00 A0=$00000000
  done#97 D0=$00 A0=$00000000
  done#98 D0=$00 A0=$00000000
  done#99 D0=$00 A0=$00000000
  done#100 D0=$00 A0=$00000000
  done#101 D0=$00 A0=$00000000
  done#102 D0=$00 A0=$00000000
  done#103 D0=$00 A0=$00000000
  done#104 D0=$00 A0=$00000000
  done#105 D0=$00 A0=$00000000
  done#106 D0=$00 A0=$00000000
  done#107 D0=$00 A0=$00000000
  done#108 D0=$00 A0=$00000000
  done#109 D0=$00 A0=$00000000
  done#110 D0=$00 A0=$00000000
  done#111 D0=$00 A0=$00000000
  done#112 D0=$00 A0=$00000000
  done#113 D0=$00 A0=$00000000
  done#114 D0=$00 A0=$00000000
  done#115 D0=$00 A0=$00000000
  done#116 D0=$00 A0=$00000000
  done#117 D0=$00 A0=$00000000
  done#118 D0=$00 A0=$00000000
  done#119 D0=$00 A0=$00000000
  done#120 D0=$00 A0=$00000000
  done#121 D0=$00 A0=$00000000
  done#122 D0=$00 A0=$00000000
  done#123 D0=$00 A0=$00000000
  done#124 D0=$00 A0=$00000000
  done#125 D0=$00 A0=$00000000
  done#126 D0=$00 A0=$00000000
  done#127 D0=$00 A0=$00000000
  done#128 D0=$00 A0=$00000000
  done#129 D0=$00 A0=$00000000
  done#130 D0=$00 A0=$00000000
  done#131 D0=$00 A0=$00000000
  done#132 D0=$00 A0=$00000000
  done#133 D0=$00 A0=$00000000
  done#134 D0=$00 A0=$00000000
  done#135 D0=$00 A0=$00000000
  done#136 D0=$00 A0=$00000000
  done#137 D0=$00 A0=$00000000
  done#138 D0=$00 A0=$00000000
  done#139 D0=$00 A0=$00000000
  done#140 D0=$00 A0=$00000000
  done#141 D0=$00 A0=$00000000
  done#142 D0=$00 A0=$00000000
  done#143 D0=$00 A0=$00000000
  done#144 D0=$00 A0=$00000000
  done#145 D0=$00 A0=$00000000
  done#146 D0=$00 A0=$00000000
  done#147 D0=$00 A0=$00000000
  done#148 D0=$00 A0=$00000000
  done#149 D0=$00 A0=$00000000
  done#150 D0=$00 A0=$00000000
  done#151 D0=$00 A0=$00000000
  done#152 D0=$00 A0=$00000000
  done#153 D0=$00 A0=$00000000
  done#154 D0=$00 A0=$00000000
  done#155 D0=$00 A0=$00000000
  done#156 D0=$00 A0=$00000000
  done#157 D0=$00 A0=$00000000
  done#158 D0=$00 A0=$00000000
  done#159 D0=$00 A0=$00000000
  done#160 D0=$00 A0=$00000000
  done#161 D0=$00 A0=$00000000
  done#162 D0=$00 A0=$00000000
  done#163 D0=$00 A0=$00000000
  done#164 D0=$00 A0=$00000000
  done#165 D0=$00 A0=$00000000
  done#166 D0=$00 A0=$00000000
  done#167 D0=$00 A0=$00000000
  done#168 D0=$00 A0=$00000000
  done#169 D0=$00 A0=$00000000
  done#170 D0=$00 A0=$00000000
  done#171 D0=$00 A0=$00000000
  done#172 D0=$00 A0=$00000000
  done#173 D0=$00 A0=$00000000
  done#174 D0=$00 A0=$00000000
  done#175 D0=$00 A0=$00000000
  done#176 D0=$00 A0=$00000000
  done#177 D0=$00 A0=$00000000
  done#178 D0=$00 A0=$00000000
  done#179 D0=$00 A0=$00000000
  done#180 D0=$00 A0=$00000000
  done#181 D0=$00 A0=$00000000
  done#182 D0=$00 A0=$00000000
  done#183 D0=$00 A0=$00000000
  done#184 D0=$00 A0=$00000000
  done#185 D0=$00 A0=$00000000
  done#186 D0=$00 A0=$00000000
  done#187 D0=$00 A0=$00000000
  done#188 D0=$00 A0=$00000000
  done#189 D0=$00 A0=$00000000
  done#190 D0=$00 A0=$00000000
  done#191 D0=$00 A0=$00000000
