# room=$73 mode=$05 lvl=$00 objs=5
tick,bucket,calls,total_cyc,max_cyc,tick_cyc
7,AnimateAndDrawObjectWalking,2,2160,1080,127841
7,GetCollidableTile,2,2160,1080,127841
7,_oam_dma_flush,1,232,232,127841
7,_ags_prearm,1,40,40,127841
7,DriveAudio,1,8,8,127841
7,_tick,1,127841,127841,127841
8,VBlankISR,1,96,96,127841
8,IsrNmi,1,1056,1056,127841
8,UpdateMode,1,264,264,127841
8,TransferCurTileBuf,1,120,120,127841
8,music_tick,1,232,232,127841
8,UpdatePlayer,1,320,320,127841
8,UpdateObject,5,5920,1184,127841
8,CheckMonsterCollisions,2,656,328,127841
8,MoveObject,4,736,184,127841
8,Walker_Move,3,2760,920,127841
8,Walker_CheckTileCollision,3,1272,424,127841
8,UpdateMoblin,2,1040,520,127841
8,UpdateArrowOrBoomerang,2,2000,1000,127841
8,AnimateAndDrawObjectWalking,2,2160,1080,127841
8,GetCollidableTile,2,2160,1080,127841
8,_oam_dma_flush,1,232,232,127841
8,_ags_flush,2,192,96,127841
8,_ags_prearm,1,40,40,127841
8,DriveAudio,1,8,8,127841
8,_tick,1,127841,127841,127841
9,VBlankISR,1,96,96,127841
9,IsrNmi,1,1056,1056,127841
9,UpdateMode,1,264,264,127841
9,TransferCurTileBuf,1,120,120,127841
9,music_tick,1,232,232,127841
9,UpdatePlayer,1,320,320,127841
9,UpdateObject,5,5920,1184,127841
9,CheckMonsterCollisions,2,656,328,127841
9,MoveObject,4,736,184,127841
9,Walker_Move,3,2760,920,127841
9,Walker_CheckTileCollision,3,1272,424,127841
9,UpdateMoblin,2,1040,520,127841
9,UpdateArrowOrBoomerang,2,2000,1000,127841
9,AnimateAndDrawObjectWalking,2,2160,1080,127841
9,GetCollidableTile,2,2160,1080,127841
9,_oam_dma_flush,1,232,232,127841
9,_ags_flush,1,96,96,127841
9,_ags_prearm,1,40,40,127841
9,DriveAudio,1,8,8,127841
9,_tick,1,127841,127841,127841
10,VBlankISR,1,96,96,127841
10,IsrNmi,1,1056,1056,127841
10,UpdateMode,1,264,264,127841
10,TransferCurTileBuf,1,120,120,127841
10,music_tick,1,232,232,127841
10,UpdatePlayer,1,320,320,127841
10,UpdateObject,5,5920,1184,127841
10,CheckMonsterCollisions,2,656,328,127841
10,MoveObject,4,736,184,127841
10,Walker_Move,3,2760,920,127841
10,Walker_CheckTileCollision,3,1272,424,127841
10,UpdateMoblin,2,1040,520,127841
10,UpdateArrowOrBoomerang,2,2000,1000,127841
10,AnimateAndDrawObjectWalking,2,2160,1080,127841
10,GetCollidableTile,2,2160,1080,127841
10,_oam_dma_flush,1,232,232,127841
10,_ags_flush,1,96,96,127841
10,_ags_prearm,1,40,40,127841
10,DriveAudio,1,8,8,127841
10,_tick,1,127841,127841,127841
11,VBlankISR,1,96,96,127841
11,IsrNmi,1,1056,1056,127841
11,UpdateMode,1,264,264,127841
11,TransferCurTileBuf,1,120,120,127841
11,music_tick,1,232,232,127841
11,UpdatePlayer,1,320,320,127841
11,UpdateObject,5,5920,1184,127841
11,CheckMonsterCollisions,2,656,328,127841
11,MoveObject,4,736,184,127841
11,Walker_Move,3,2760,920,127841
11,Walker_CheckTileCollision,3,1272,424,127841
11,UpdateMoblin,2,1040,520,127841
11,UpdateArrowOrBoomerang,2,2000,1000,127841
11,AnimateAndDrawObjectWalking,2,2160,1080,127841
11,GetCollidableTile,2,2160,1080,127841
11,_oam_dma_flush,1,232,232,127841
11,_ags_flush,1,96,96,127841
11,_ags_prearm,1,40,40,127841
11,DriveAudio,1,8,8,127841
11,_tick,1,127841,127841,127841
12,VBlankISR,1,96,96,127841
12,IsrNmi,1,1056,1056,127841
12,UpdateMode,1,264,264,127841
12,TransferCurTileBuf,1,120,120,127841
12,music_tick,1,232,232,127841
12,UpdatePlayer,1,320,320,127841
12,UpdateObject,5,5920,1184,127841
12,CheckMonsterCollisions,2,656,328,127841
12,MoveObject,4,736,184,127841
12,Walker_Move,3,2760,920,127841
12,Walker_CheckTileCollision,3,1272,424,127841
12,UpdateMoblin,2,1040,520,127841
12,UpdateArrowOrBoomerang,2,2000,1000,127841
12,AnimateAndDrawObjectWalking,2,2160,1080,127841
12,GetCollidableTile,2,2160,1080,127841
12,_oam_dma_flush,1,232,232,127841
12,_ags_flush,1,96,96,127841
12,_ags_prearm,1,40,40,127841
12,DriveAudio,1,8,8,127841
12,_tick,1,127841,127841,127841
13,VBlankISR,1,96,96,127841
13,IsrNmi,1,1056,1056,127841
13,UpdateMode,1,264,264,127841
13,TransferCurTileBuf,1,120,120,127841
13,music_tick,1,232,232,127841
13,UpdatePlayer,1,320,320,127841
13,UpdateObject,5,5920,1184,127841
13,CheckMonsterCollisions,2,656,328,127841
13,MoveObject,4,736,184,127841
13,Walker_Move,3,2760,920,127841
13,Walker_CheckTileCollision,3,1272,424,127841
13,UpdateMoblin,2,1040,520,127841
13,UpdateArrowOrBoomerang,2,2000,1000,127841
13,AnimateAndDrawObjectWalking,2,2160,1080,127841
13,GetCollidableTile,2,2160,1080,127841
13,_oam_dma_flush,1,232,232,127841
13,_ags_prearm,1,40,40,127841
13,DriveAudio,1,8,8,127841
13,_tick,1,127841,127841,127841
14,VBlankISR,1,96,96,127841
14,IsrNmi,1,1056,1056,127841
14,UpdateMode,1,264,264,127841
14,TransferCurTileBuf,1,120,120,127841
14,music_tick,1,232,232,127841
14,UpdatePlayer,1,320,320,127841
14,UpdateObject,5,5920,1184,127841
14,CheckMonsterCollisions,2,656,328,127841
14,MoveObject,4,736,184,127841
14,Walker_Move,3,2760,920,127841
14,Walker_CheckTileCollision,3,1272,424,127841
14,UpdateMoblin,2,1040,520,127841
14,UpdateArrowOrBoomerang,2,2000,1000,127841
14,AnimateAndDrawObjectWalking,2,2160,1080,127841
14,GetCollidableTile,2,2160,1080,127841
14,_oam_dma_flush,1,232,232,127841
14,_ags_flush,2,192,96,127841
14,_ags_prearm,1,40,40,127841
14,DriveAudio,1,8,8,127841
14,_tick,1,127841,127841,127841
15,VBlankISR,1,96,96,127841
15,IsrNmi,1,1056,1056,127841
15,UpdateMode,1,264,264,127841
15,TransferCurTileBuf,1,120,120,127841
15,music_tick,1,232,232,127841
15,UpdatePlayer,1,320,320,127841
15,UpdateObject,5,5920,1184,127841
15,CheckMonsterCollisions,2,656,328,127841
15,MoveObject,4,736,184,127841
15,Walker_Move,3,2760,920,127841
15,Walker_CheckTileCollision,3,1272,424,127841
15,UpdateMoblin,2,1040,520,127841
15,UpdateArrowOrBoomerang,2,2000,1000,127841
15,AnimateAndDrawObjectWalking,2,2160,1080,127841
15,GetCollidableTile,2,2160,1080,127841
15,_oam_dma_flush,1,232,232,127841
15,_ags_flush,1,96,96,127841
15,_ags_prearm,1,40,40,127841
15,DriveAudio,1,8,8,127841
15,_tick,1,127841,127841,127841
16,VBlankISR,1,96,96,127841
16,IsrNmi,1,1056,1056,127841
16,UpdateMode,1,264,264,127841
16,TransferCurTileBuf,1,120,120,127841
16,music_tick,1,232,232,127841
16,UpdatePlayer,1,320,320,127841
16,UpdateObject,5,5920,1184,127841
16,CheckMonsterCollisions,2,656,328,127841
16,MoveObject,4,736,184,127841
16,Walker_Move,3,2760,920,127841
16,Walker_CheckTileCollision,3,1272,424,127841
16,UpdateMoblin,2,1040,520,127841
16,UpdateArrowOrBoomerang,2,2000,1000,127841
16,AnimateAndDrawObjectWalking,2,2160,1080,127841
16,GetCollidableTile,2,2160,1080,127841
16,_oam_dma_flush,1,232,232,127841
16,_ags_flush,1,96,96,127841
16,_ags_prearm,1,40,40,127841
16,DriveAudio,1,8,8,127841
16,_tick,1,127841,127841,127841
17,VBlankISR,1,96,96,127841
17,IsrNmi,1,1056,1056,127841
17,UpdateMode,1,264,264,127841
17,TransferCurTileBuf,1,120,120,127841
17,music_tick,1,232,232,127841
17,UpdatePlayer,1,320,320,127841
17,UpdateObject,5,5920,1184,127841
17,CheckMonsterCollisions,2,656,328,127841
17,MoveObject,4,736,184,127841
17,Walker_Move,3,2760,920,127841
17,Walker_CheckTileCollision,3,1272,424,127841
17,UpdateMoblin,2,1040,520,127841
17,UpdateArrowOrBoomerang,2,2000,1000,127841
17,AnimateAndDrawObjectWalking,2,2160,1080,127841
17,GetCollidableTile,2,2160,1080,127841
17,_oam_dma_flush,1,232,232,127841
17,_ags_prearm,1,40,40,127841
17,DriveAudio,1,8,8,127841
17,_tick,1,127841,127841,127841
18,VBlankISR,1,96,96,127841
18,IsrNmi,1,1056,1056,127841
18,UpdateMode,1,264,264,127841
18,TransferCurTileBuf,1,120,120,127841
18,music_tick,1,232,232,127841
18,UpdatePlayer,1,320,320,127841
18,UpdateObject,5,5920,1184,127841
18,CheckMonsterCollisions,2,656,328,127841
18,MoveObject,4,736,184,127841
18,Walker_Move,3,2760,920,127841
18,Walker_CheckTileCollision,3,1272,424,127841
18,UpdateMoblin,2,1040,520,127841
18,UpdateArrowOrBoomerang,2,2000,1000,127841
18,AnimateAndDrawObjectWalking,2,2160,1080,127841
18,GetCollidableTile,2,2160,1080,127841
18,_oam_dma_flush,1,232,232,127841
18,_ags_flush,2,192,96,127841
18,_ags_prearm,1,40,40,127841
18,DriveAudio,1,8,8,127841
18,_tick,1,127841,127841,127841
19,VBlankISR,1,96,96,127841
19,IsrNmi,1,1056,1056,127841
19,UpdateMode,1,264,264,127841
19,TransferCurTileBuf,1,120,120,127841
19,music_tick,1,232,232,127841
19,UpdatePlayer,1,320,320,127841
19,UpdateObject,5,5920,1184,127841
19,CheckMonsterCollisions,2,656,328,127841
19,MoveObject,4,736,184,127841
19,Walker_Move,3,2760,920,127841
19,Walker_CheckTileCollision,3,1272,424,127841
19,UpdateMoblin,2,1040,520,127841
19,UpdateArrowOrBoomerang,2,2000,1000,127841
19,AnimateAndDrawObjectWalking,2,2160,1080,127841
