=================================================================
CHR Loop Count Probe — 200 frames
=================================================================
Total NMI entries: 0

  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=52
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=52
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=52
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=52
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=52
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=53
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=54
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=55
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=56
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=57
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=58
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=59
