frame,brightness
2110,8.6,
2115,9.0,
2120,9.0,
2125,8.9,
2130,9.0,
2135,8.8,
2140,7.8,
2145,7.4,
2150,7.1,
2155,7.0,
2160,7.1,
2165,7.1,
2170,7.1,
2175,7.1,
2180,7.0,
2185,7.1,
2190,7.2,
2195,7.3,
2200,7.5,
2205,7.6,
2210,7.6,
2215,7.8,
2220,7.7,
2225,7.7,
2230,8.0,
2235,8.2,
2240,8.8,
2245,9.2,
2250,9.0,
2255,9.0,
2260,9.1,
2265,9.0,
2270,9.2,
2275,9.3,
2280,8.2,
2285,7.4,
2290,6.6,
2295,6.4,
2300,6.5,
2305,6.6,
2310,6.4,
2315,6.5,
2320,6.5,
2325,6.6,
2330,6.8,
2335,6.8,
2340,6.9,
2345,7.1,
2350,6.9,
2355,7.0,
2360,7.6,
2365,8.1,
2370,9.3,
2375,9.5,
2380,9.2,
2385,9.1,
2390,9.0,
2395,8.9,
2400,9.0,
2405,9.0,
2410,8.9,
2415,9.1,
2420,9.0,
2425,8.3,
2430,7.7,
2435,7.3,
2440,6.9,
2445,7.0,
2450,6.7,
2455,6.8,
2460,7.0,
2465,7.0,
2470,7.1,
2475,7.2,
2480,7.0,
2485,7.1,
2490,7.5,
2495,7.8,
2500,8.4,
2505,8.3,
2510,8.1,
2515,8.1,
2520,7.7,
2525,7.6,
2530,7.8,
2535,7.7,
2540,7.7,
2545,7.8,
2550,7.3,
2555,7.0,
2560,6.7,
2565,6.5,
2570,6.6,
2575,6.7,
2580,6.6,
2585,6.7,
2590,6.7,
2595,6.7,
2600,6.9,
2605,6.8,
2610,6.8,
2615,7.0,
2620,7.4,
2625,7.8,
2630,8.4,
2635,8.3,
2640,8.5,
2645,8.3,
2650,8.2,
2655,8.3,
2660,8.3,
2665,8.2,
2670,8.4,
2675,8.3,
2680,7.6,
2685,7.3,
2690,6.9,
2695,6.8,
2700,7.0,
2705,7.0,
2710,7.0,
2715,7.2,
2720,7.2,
2725,7.2,
2730,7.3,
2735,7.2,
2740,7.3,
2745,7.7,
2750,8.2,
2755,8.9,
2760,9.3,
2765,9.5,
2770,10.2,
2775,9.9,
2780,9.8,
2785,9.8,
2790,9.8,
2795,9.8,
2800,10.0,
2805,9.7,
2810,8.6,
2815,8.0,
2820,7.5,
2825,7.4,
2830,7.5,
2835,7.5,
2840,7.5,
2845,7.7,
2850,7.6,
2855,7.6,
2860,7.7,
2865,7.6,
2870,7.9,
2875,8.4,
2880,9.3,
2885,9.9,
2890,10.3,
2895,10.4,
2900,10.9,
2905,10.7,
2910,10.5,
2915,10.6,
2920,10.6,
2925,10.6,
2930,10.7,
2935,10.3,
2940,9.7,
2945,9.6,
2950,9.3,
2955,9.4,
2960,9.5,
2965,9.4,
2970,9.5,
2975,9.6,
2980,9.5,
2985,9.6,
2990,9.6,
2995,9.5,
3000,9.9,
3005,10.1,
3010,10.6,
3015,10.8,
3020,10.6,
3025,10.5,
3030,10.5,
3035,10.3,
3040,10.4,
3045,10.5,
3050,10.3,
3055,10.5,
3060,10.4,
3065,9.8,
3070,9.5,
3075,9.2,
3080,8.7,
3085,8.8,
3090,8.4,
3095,8.3,
3100,8.6,
3105,8.4,
3110,8.5,
3115,8.7,
3120,8.4,
3125,8.5,
3130,9.1,
3135,9.4,
3140,10.1,
3145,10.3,
3150,10.2,
3155,10.5,
3160,10.3,
3165,10.2,
3170,10.4,
3175,10.3,
3180,10.3,
3185,10.5,
3190,10.0,
3195,9.5,
3200,9.0,
3205,8.5,
3210,8.0,
3215,7.7,
3220,7.2,
3225,7.4,
3230,7.5,
3235,7.5,
3240,7.8,
3245,7.7,
3250,7.6,
3255,7.9,
3260,8.1,
3265,8.3,
3270,8.9,
3275,9.1,
3280,9.8,
3285,10.1,
3290,9.9,
3295,10.0,
3300,9.9,
3305,9.9,
3310,10.1,
3315,10.1,
3320,9.2,
3325,8.7,
3330,7.9,
3335,7.5,
3340,7.0,
3345,6.7,
3350,6.5,
3355,6.7,
3360,6.6,
3365,6.6,
3370,6.7,
3375,6.6,
3380,6.7,
3385,6.9,
3390,7.2,
3395,7.5,
3400,7.9,
3405,8.0,
3410,8.5,
3415,8.5,
3420,8.4,
3425,8.4,
3430,8.4,
3435,8.4,
3440,8.5,
3445,8.4,
3450,7.9,
3455,7.6,
3460,7.3,
3465,7.3,
3470,7.4,
3475,7.5,
3480,7.5,
3485,7.6,
3490,7.5,
3495,7.6,
3500,7.7,
3505,7.6,
3510,7.9,
3515,8.3,
3520,9.0,
3525,9.5,
3530,9.8,
3535,9.9,
3540,10.4,
3545,10.3,
3550,10.1,
3555,10.2,
3560,10.2,
3565,10.2,
3570,10.3,
3575,9.9,
3580,9.3,
3585,9.1,
3590,8.6,
3595,8.5,
3600,8.4,
3605,8.4,
3610,8.6,
3615,8.7,
3620,8.7,
3625,8.9,
3630,8.9,
3635,8.8,
3640,9.4,
3645,9.7,
3650,10.4,
3655,10.8,
3660,10.5,
3665,10.4,
3670,10.2,
3675,10.1,
3680,10.1,
3685,10.2,
3690,10.0,
3695,10.2,
3700,10.1,
3705,9.7,
3710,9.6,
3715,9.3,
3720,8.6,
3725,8.5,
3730,7.8,
3735,7.8,
3740,8.1,
3745,8.0,
3750,8.0,
3755,8.2,
3760,8.0,
3765,8.0,
3770,8.7,
3775,9.0,
3780,9.8,
3785,10.1,
3790,10.3,
3795,10.7,
3800,10.6,
3805,10.5,
3810,10.6,
3815,10.6,
3820,10.5,
3825,10.7,
3830,10.3,
3835,10.1,
3840,9.9,
3845,9.6,
3850,9.2,
3855,9.0,
3860,8.7,
3865,8.9,
3870,8.9,
3875,8.8,
3880,9.0,
3885,8.9,
3890,8.9,
3895,9.1,
3900,9.5,
3905,9.8,
3910,10.3,
3915,10.3,
3920,10.3,
3925,10.3,
3930,10.1,
3935,10.2,
3940,10.2,
3945,10.1,
3950,10.3,
3955,10.3,
3960,9.5,
3965,9.1,
3970,8.5,
3975,8.1,
3980,7.9,
3985,7.8,
3990,7.8,
3995,8.0,
4000,8.0,
4005,8.1,
4010,8.2,
4015,8.1,
4020,8.1,
4025,8.5,
4030,9.0,
4035,9.4,
4040,9.5,
4045,9.2,
4050,9.2,
4055,8.7,
4060,8.6,
4065,8.7,
4070,8.6,
4075,8.6,
4080,8.8,
4085,8.6,
4090,7.7,
4095,7.4,
4100,6.9,
4105,6.9,
4110,7.0,
4115,6.9,
4120,6.9,
4125,7.0,
4130,6.9,
4135,6.9,
4140,7.0,
4145,7.0,
4150,7.2,
4155,7.2,
4160,7.1,
4165,7.2,
4170,7.4,
4175,7.5,
4180,8.0,
4185,7.7,
4190,7.7,
4195,7.8,
4200,7.7,
4205,7.7,
4210,7.8,
4215,7.4,
4220,6.7,
4225,6.4,
4230,5.8,
4235,5.6,
4240,5.1,
4245,5.0,
4250,5.1,
4255,5.0,
4260,5.0,
4265,5.1,
4270,5.0,
4275,5.0,
4280,5.2,
4285,5.6,
4290,5.9,
4295,6.5,
4300,6.5,
4305,7.0,
4310,7.2,
4315,7.5,
4320,7.9,
4325,8.3,
4330,8.6,
4335,9.1,
4340,9.2,
4345,9.2,
4350,9.1,
4355,9.3,
4360,9.4,
4365,9.7,
4370,9.8,
4375,10.3,
4380,10.4,
4385,10.4,
4390,10.5,
4395,10.6,
4400,10.6,
4405,10.7,
4410,10.7,
4415,10.6,
4420,10.7,
4425,10.7,
4430,10.5,
4435,10.4,
4440,10.0,
4445,10.0,
4450,10.1,
4455,10.0,
4460,10.1,
4465,10.2,
4470,9.7,
4475,9.3,
4480,8.8,
4485,8.6,
4490,8.7,
4495,8.7,
4500,8.6,
4505,8.7,
4510,8.7,
4515,8.6,
4520,8.7,
4525,8.6,
4530,8.7,
4535,8.7,
4540,8.6,
4545,8.7,
4550,8.7,
4555,8.6,
4560,8.6,
4565,8.7,
4570,8.6,
4575,8.6,
4580,8.7,
4585,8.6,
4590,8.6,
4595,8.7,
4600,8.7,
4605,8.6,
4610,8.7,
4615,8.7,
4620,8.6,
4625,8.7,
4630,8.7,
4635,8.6,
4640,8.6,
4645,8.7,
4650,8.6,
4655,8.6,
4660,8.7,
4665,8.6,
4670,8.6,
4675,8.7,
4680,8.7,
4685,8.6,
4690,8.7,
4695,8.7,
4700,8.6,
4705,8.7,
4710,8.7,
4715,8.6,
4720,8.6,
4725,8.7,
4730,8.6,
4735,8.6,
4740,8.7,
4745,8.6,
4750,8.6,
4755,8.7,
4760,8.7,
4765,8.6,
4770,8.7,
4775,8.7,
4780,8.6,
4785,8.7,
4790,8.7,
4795,8.6,
4800,8.6,
4805,8.7,
4810,8.6,
4815,8.6,
4820,8.7,
4825,8.6,
4830,0.0,
4835,154.2,BRIGHTER
4840,155.1,
4845,155.0,
4850,155.1,
4855,154.2,
4860,152.8,
4865,152.0,
4870,151.9,
4875,152.9,
4880,152.9,
4885,152.8,
4890,152.9,
4895,154.1,
4900,155.1,
4905,155.1,
4910,154.2,
4915,152.9,
