# label=nes system=NES start=850 end=3200
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40,hintQCount,hintQ0Ctr,hintQ0Vsram,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent
874,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,65,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
875,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,64,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
876,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,63,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
877,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,62,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
878,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,61,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
879,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,60,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
880,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,5F,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
881,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,5E,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
882,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,5D,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
883,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,5C,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
884,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,5B,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
885,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,5A,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
886,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,59,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
887,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,58,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
888,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,57,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
889,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,56,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
890,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,55,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
891,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,54,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
