# label=nes system=NES ramDomain=nil start=2100 end=3200 step=1
# frame,gameMode,phase,subphase,frameCtr,curVScroll,curHScroll,ppuCtrl,switchReq,tileBufSel,lineCounter,vramHi,vramLo,textIndex,objYTick,vsram0,ppuScrlX,ppuScrlY,hintQCount,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,spriteVisible,attrIndex,itemRow
02130,00,01,02,3A,DF,00,B0,00,00,D7,20,80,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1A,02
02131,00,01,02,3B,E0,00,B0,00,00,D8,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02132,00,01,02,3C,E0,00,B0,00,00,D8,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02133,00,01,02,3D,E1,00,B0,00,00,D9,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02134,00,01,02,3E,E1,00,B0,00,00,D9,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02135,00,01,02,3F,E2,00,B0,00,00,DA,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02136,00,01,02,40,E2,00,B0,00,00,DA,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02137,00,01,02,41,E3,00,B0,00,00,DB,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02138,00,01,02,42,E3,00,B0,00,00,DB,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02139,00,01,02,43,E4,00,B0,00,00,DC,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02140,00,01,02,44,E4,00,B0,00,00,DC,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02141,00,01,02,45,E5,00,B0,00,00,DD,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02142,00,01,02,46,E5,00,B0,00,00,DD,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02143,00,01,02,47,E6,00,B0,00,00,DE,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02144,00,01,02,48,E6,00,B0,00,00,DE,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02145,00,01,02,49,E7,00,B0,00,00,DF,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02146,00,01,02,4A,E7,00,B0,00,00,DF,20,A0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1B,02
02147,00,01,02,4B,E8,00,B0,00,00,E0,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02148,00,01,02,4C,E8,00,B0,00,00,E0,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02149,00,01,02,4D,E9,00,B0,00,00,E1,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02150,00,01,02,4E,E9,00,B0,00,00,E1,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02151,00,01,02,4F,EA,00,B0,00,00,E2,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02152,00,01,02,50,EA,00,B0,00,00,E2,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02153,00,01,02,51,EB,00,B0,00,00,E3,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02154,00,01,02,52,EB,00,B0,00,00,E3,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02155,00,01,02,53,EC,00,B0,00,00,E4,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02156,00,01,02,54,EC,00,B0,00,00,E4,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02157,00,01,02,55,ED,00,B0,00,00,E5,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02158,00,01,02,56,ED,00,B0,00,00,E5,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02159,00,01,02,57,EE,00,B0,00,00,E6,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02160,00,01,02,58,EE,00,B0,00,00,E6,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02161,00,01,02,59,EF,00,B0,00,00,E7,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02162,00,01,02,5A,EF,00,B0,00,00,E7,20,C0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1C,02
02163,00,01,02,5B,00,00,B0,01,00,E8,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1D,03
02164,00,01,02,5C,00,00,B2,00,00,E8,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1D,03
02165,00,01,02,5D,01,00,B2,00,00,E9,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1D,03
02166,00,01,02,5E,01,00,B2,00,00,E9,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,1D,03
02167,00,01,02,5F,02,00,B2,00,00,EA,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02168,00,01,02,60,02,00,B2,00,00,EA,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02169,00,01,02,61,03,00,B2,00,00,EB,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02170,00,01,02,62,03,00,B2,00,00,EB,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02171,00,01,02,63,04,00,B2,00,00,EC,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02172,00,01,02,64,04,00,B2,00,00,EC,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02173,00,01,02,65,05,00,B2,00,00,ED,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02174,00,01,02,66,05,00,B2,00,00,ED,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02175,00,01,02,67,06,00,B2,00,00,EE,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02176,00,01,02,68,06,00,B2,00,00,EE,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02177,00,01,02,69,07,00,B2,00,00,EF,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02178,00,01,02,6A,07,00,B2,00,00,EF,20,E0,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1D,03
02179,00,01,02,6B,08,00,B2,00,00,F0,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02180,00,01,02,6C,08,00,B2,00,00,F0,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02181,00,01,02,6D,09,00,B2,00,00,F1,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
02182,00,01,02,6E,09,00,B2,00,00,F1,21,00,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1E,03
