# label=nes
# target_idx,frame,phase,subphase,curV,ppuCtrl,nt
1,1698,01,02,08,B0,0
2,1746,01,02,20,B0,0
3,1810,01,02,40,B0,0
4,1874,01,02,60,B0,0
5,1938,01,02,80,B0,0
6,2002,01,02,A0,B0,0
7,2066,01,02,C0,B0,0
8,2130,01,02,E0,B0,0
9,2163,01,02,00,B2,1
10,2226,01,02,20,B2,1
11,2290,01,02,40,B2,1
12,2354,01,02,60,B2,1
13,2418,01,02,80,B2,1
14,2482,01,02,A0,B2,1
15,2546,01,02,C0,B2,1
16,2610,01,02,E0,B2,1
