# label=nes system=NES start=850 end=3000
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40
896,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,4F,00,01,00,00,00,FFFF
897,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,4E,00,01,00,00,00,FFFF
898,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,4D,00,01,00,00,00,FFFF
899,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,4C,00,01,00,00,00,FFFF
900,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,4B,00,01,00,00,00,FFFF
901,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,4A,00,01,00,00,00,FFFF
902,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,49,00,01,00,00,00,FFFF
903,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,48,00,01,00,00,00,FFFF
904,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,47,00,01,00,00,00,FFFF
905,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,46,00,01,00,00,00,FFFF
906,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,45,00,01,00,00,00,FFFF
907,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,44,00,01,00,00,00,FFFF
908,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,43,00,01,00,00,00,FFFF
909,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,42,00,01,00,00,00,FFFF
910,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,41,00,01,00,00,00,FFFF
911,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,40,00,01,00,00,00,FFFF
912,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,3F,00,01,00,00,00,FFFF
913,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,3E,00,01,00,00,00,FFFF
914,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,3D,00,01,00,00,00,FFFF
915,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,3C,00,01,00,00,00,FFFF
916,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,3B,00,01,00,00,00,FFFF
917,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,3A,00,01,00,00,00,FFFF
918,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,39,00,01,00,00,00,FFFF
919,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,38,00,01,00,00,00,FFFF
920,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,37,00,01,00,00,00,FFFF
921,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,36,00,01,00,00,00,FFFF
922,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,35,00,01,00,00,00,FFFF
923,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,34,00,01,00,00,00,FFFF
924,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,33,00,01,00,00,00,FFFF
925,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,32,00,01,00,00,00,FFFF
926,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,31,00,01,00,00,00,FFFF
927,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,30,00,01,00,00,00,FFFF
928,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,2F,00,01,00,00,00,FFFF
929,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,2E,00,01,00,00,00,FFFF
