frame,gameMode,phase,subphase,curVScroll,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDst,attrDst,switchReq,subphase2Hits,lineRecordHit,demoLineSelected,planeLineDst,attrRecordHit,attrLineDst,lineAdvanced,attrAdvanced,ntWrapped
910,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
911,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
912,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
913,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
914,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
915,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
916,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
917,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
918,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
919,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
920,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
921,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
922,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
923,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
924,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
925,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
926,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
927,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
928,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
929,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
930,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
931,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
932,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
933,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
934,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
935,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
